,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date,Expo_smooth_pred_x,Holt_pred,Prophet_pred,predicted_mean,Year,Month,Size
52,UCEBU,PHONVOC,CP-8811-K9,Q3 FY2014,MAR FY2014,0,2014-03-01,,,15030.860579098367,0.0,2014,3,XS
53,UCEBU,PHONVOC,CP-7841-K9,Q3 FY2014,MAR FY2014,42734,2014-03-01,26250.95566454717,24184.70866897096,70235.0655235018,21224.99012461782,2014,3,XL
54,CVEBU,CTSQS,CTS-CAM-P60+,Q3 FY2014,MAR FY2014,5,2014-03-01,,,653.734963834268,0.0,2014,3,XS
55,SRSBU,4300ISR,ISR4351/K9,Q3 FY2014,MAR FY2014,0,2014-03-01,,,898.9429878762493,0.0,2014,3,XS
56,SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2014,MAR FY2014,338,2014-03-01,367.460624907144,244.7519203608742,658.3729801670078,340.61141306324623,2014,3,S
57,TOASTBU,CPAK100,CPAK-100G-LR4,Q3 FY2014,MAR FY2014,298,2014-03-01,564.0472943733089,1134.555273828571,1922.3509693089115,381.6150156489286,2014,3,S
58,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2014,MAR FY2014,0,2014-03-01,,,13453.43053615081,0.0,2014,3,XS
59,TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2014,MAR FY2014,22572,2014-03-01,16552.959705566565,12947.001156559309,24426.62265526912,23162.876969398647,2014,3,XL
60,SRSBU,4300ISR,ISR4331/K9,Q3 FY2014,MAR FY2014,0,2014-03-01,,,857.23617934758,0.0,2014,3,XS
61,SRSBU,A9K1000,A9K1001-X,Q3 FY2014,MAR FY2014,0,2014-03-01,,,478.5181024114031,0.0,2014,3,XS
62,SRSBU,A9K1000,A9K1000-ESP100,Q3 FY2014,MAR FY2014,77,2014-03-01,60.19951024715633,81.42930679562113,61.1907374519091,79.2754776142342,2014,3,XS
63,SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2014,APR FY2014,534,2014-04-01,341.2801885647822,297.8993614678101,1326.8795888044494,338.6900401210591,2014,4,M
64,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q3 FY2014,APR FY2014,13293,2014-04-01,2332.372863960124,2692.193246403407,20467.940801485485,2833.575123964086,2014,4,XL
65,SRSBU,A9K1000,A9K1000-ESP100,Q3 FY2014,APR FY2014,84,2014-04-01,78.26953002901902,83.29698833606164,184.83077572550232,121.47346122696987,2014,4,XS
66,UCEBU,PHONVOC,CP-7821-K9,Q3 FY2014,APR FY2014,105136,2014-04-01,18934.8808924822,7574.609226344832,114709.84461222116,32230.05754667266,2014,4,XL
67,QKBU,N9500,N9K-C9508,Q3 FY2014,APR FY2014,112,2014-04-01,29.140813348463777,70.05369494163934,183.69850102274097,32.0031495196022,2014,4,S
68,TOASTBU,CPAK100,CPAK-100G-LR4,Q3 FY2014,APR FY2014,904,2014-04-01,324.3821381215156,1305.2632795027232,3478.73691430902,350.04395877540173,2014,4,M
69,CVEBU,CTSQS,CTS-CAM-P60+,Q3 FY2014,APR FY2014,319,2014-04-01,311.212643,561.7306685906976,1188.482875754311,4.7257654106226825,2014,4,S
70,UCEBU,PHONVOC,CP-7841-K9,Q3 FY2014,APR FY2014,72483,2014-04-01,40151.457177362194,23762.46943046979,89522.44911370313,28435.73022205063,2014,4,XL
71,TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2014,APR FY2014,42568,2014-04-01,17759.664357968344,15033.865211236927,36473.185754538514,25562.14043795179,2014,4,XL
72,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q4 FY2014,MAY FY2014,4368,2014-05-01,11132.99423964392,2154.1385739721127,3520.0495581543555,4314.7743514635,2014,5,L
73,UCEBU,PHONVOC,CP-8861-K9,Q4 FY2014,MAY FY2014,227,2014-05-01,,,62.63718014868209,0.0,2014,5,S
74,CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2014,MAY FY2014,387,2014-05-01,622.18906398715,807.9607612340354,667.8516553556083,288.1967169122429,2014,5,S
75,UCEBU,PHONVOC,CP-8841-K9,Q4 FY2014,MAY FY2014,243,2014-05-01,236.9734785,454.0694970976744,36813.36674018833,0.0,2014,5,S
76,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2014,MAY FY2014,445,2014-05-01,538.2013497457386,361.225123791222,427.9418623968512,489.9441011231455,2014,5,S
77,QKBU,N9500,N9K-C9508,Q4 FY2014,MAY FY2014,24,2014-05-01,109.7115647237708,85.32673309802473,63.526894505218536,111.53527862938776,2014,5,XS
78,UCEBU,PHONVOC,CP-7841-K9,Q4 FY2014,MAY FY2014,51314,2014-05-01,70086.32374256063,27228.50335944933,56893.17889401305,41783.35322113222,2014,5,XL
79,SRSBU,A9K1000,A9K1001-X,Q4 FY2014,MAY FY2014,29,2014-05-01,28.2807855,198.5860680542059,217.8083975147881,0.0,2014,5,XS
80,UCEBU,PHONVOC,CP-7821-K9,Q4 FY2014,MAY FY2014,74104,2014-05-01,85658.26173563443,16696.487850145626,70431.29090445444,52579.89813192163,2014,5,XL
81,UCEBU,PHONVOC,CP-8851-K9,Q4 FY2014,MAY FY2014,259,2014-05-01,252.57667050000003,494.5754744162791,27633.803457225804,0.0,2014,5,S
82,TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2014,MAY FY2014,19736,2014-05-01,37926.58897581672,19917.44555495564,19206.128272375343,32418.502745879377,2014,5,XL
83,TOASTBU,CPAK100,CPAK-100G-LR4,Q4 FY2014,MAY FY2014,305,2014-05-01,932.8358217081388,1508.0017307858816,923.9583962421932,607.4475493652476,2014,5,S
84,SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2014,MAY FY2014,116,2014-05-01,85.28487346162593,86.29445751571615,41.10614559651039,30.048795187330327,2014,5,S
85,UCEBU,PHONVOC,CP-8841-K9,Q4 FY2014,JUN FY2014,1513,2014-06-01,477.63357499642495,664.17621309217,35846.11512610265,134.36550577747147,2014,6,L
86,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q4 FY2014,JUN FY2014,7137,2014-06-01,2196.1075757612434,2676.0434541054947,7277.203126241934,5592.461470566972,2014,6,XL
87,TOASTBU,CPAK100,CPAK-100G-LR4,Q4 FY2014,JUN FY2014,665,2014-06-01,330.40754068105736,1607.35297995666,1744.012296570404,480.57018605603446,2014,6,M
88,SRSBU,4300ISR,ISR4351/K9,Q4 FY2014,JUN FY2014,2,2014-06-01,1.950399,117.55969739482046,504.2255167917767,0.0,2014,6,XS
89,CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2014,JUN FY2014,627,2014-06-01,685.9929874805421,1007.8603083757572,830.5200987541655,370.8881186263744,2014,6,M
90,SRSBU,A9K1000,A9K1001-X,Q4 FY2014,JUN FY2014,15,2014-06-01,57.001537756774994,277.07740002612985,552.2331754576883,26.770658317481903,2014,6,XS
91,UCEBU,PHONVOC,CP-7841-K9,Q4 FY2014,JUN FY2014,49679,2014-06-01,48848.36750260935,28778.320932759994,74974.84419724517,41314.59752236197,2014,6,XL
92,SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2014,JUN FY2014,178,2014-06-01,117.4218987513038,96.92743718931284,82.60292499056672,78.51488459868024,2014,6,S
93,SRSBU,ISR1121,ISR4431/K9,Q4 FY2014,JUN FY2014,0,2014-06-01,0.0,0.0,177.36029163760165,0.0,2014,6,XS
94,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2014,JUN FY2014,609,2014-06-01,448.6979895670399,416.44986952513,504.2024708699495,455.3276335736773,2014,6,M
95,SRSBU,4300ISR,ISR4321/K9,Q4 FY2014,JUN FY2014,1,2014-06-01,,,195.2539703624981,0.0,2014,6,XS
96,UCEBU,PHONVOC,CP-8851-K9,Q4 FY2014,JUN FY2014,495,2014-06-01,509.082699276025,728.9109249539817,29111.7115361928,159.99290016572508,2014,6,S
97,TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2014,JUN FY2014,33131,2014-06-01,15050.959670628255,21451.85536641962,23388.76562986525,23813.851953488207,2014,6,XL
98,SRSBU,4300ISR,ISR4331/K9,Q4 FY2014,JUN FY2014,1,2014-06-01,0.9751995,1.868598753488372,1415.8145349516956,0.0,2014,6,XS
99,QKBU,N9500,N9K-C9508,Q4 FY2014,JUN FY2014,63,2014-06-01,22.1683826025571,66.08859443619929,109.4743348400386,24.483621180962928,2014,6,XS
100,UCEBU,PHONVOC,CP-8861-K9,Q4 FY2014,JUN FY2014,990,2014-06-01,971.0772185,1704.8271237604652,13492.245128504444,100.28819351120428,2014,6,M
101,UCEBU,PHONVOC,CP-7821-K9,Q4 FY2014,JUN FY2014,60297,2014-06-01,54500.48896624261,27205.098546643538,91108.322684018,59245.4231558349,2014,6,XL
102,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2014,JUL FY2014,1978,2014-07-01,613.4545046230127,479.431243939073,1679.9390638306309,574.2893043346178,2014,7,L
103,SRSBU,4300ISR,ISR4331/K9,Q4 FY2014,JUL FY2014,0,2014-07-01,1.965570267475,2.7332354448237446,5710.677626142634,0.6068608821288894,2014,7,XS
104,CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2014,JUL FY2014,1116,2014-07-01,922.711042317708,1199.194190334898,2306.3620783410724,598.260624617113,2014,7,M
105,TOASTBU,CPAK100,CPAK-100G-LR4,Q4 FY2014,JUL FY2014,982,2014-07-01,691.6873738100885,1711.7336729513245,2621.471031844522,558.1905485352227,2014,7,M
106,SRSBU,ISR1121,ISR4431/K9,Q4 FY2014,JUL FY2014,55,2014-07-01,0.0,0.0,1885.1735399773904,0.0,2014,7,XS
107,UCEBU,PHONVOC,CP-8841-K9,Q4 FY2014,JUL FY2014,20013,2014-07-01,1750.4123030502285,977.0917896415946,81557.43864409241,799.2074947309438,2014,7,XL
108,UCEBU,PHONVOC,CP-7841-K9,Q4 FY2014,JUL FY2014,125440,2014-07-01,47242.13545844534,30428.60550399115,139565.45875037613,42713.50409482609,2014,7,XL
109,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q4 FY2014,JUL FY2014,17130,2014-07-01,5011.283917503612,2495.2186760657123,38959.386497182815,5541.011019331314,2014,7,XL
110,UCEBU,PHONVOC,CP-8861-K9,Q4 FY2014,JUL FY2014,6333,2014-07-01,1726.7301140834252,2417.0178473045034,19909.4886060446,330.81020495835946,2014,7,XL
111,TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2014,JUL FY2014,70685,2014-07-01,28582.306273552367,24673.11846356661,51133.72922688899,35394.60837521553,2014,7,XL
112,UCEBU,PHONVOC,CP-8851-K9,Q4 FY2014,JUL FY2014,23370,2014-07-01,742.5121629218485,958.5035506912388,87703.16214223183,316.5407370300999,2014,7,XL
113,SRSBU,4300ISR,ISR4321/K9,Q4 FY2014,JUL FY2014,0,2014-07-01,0.0248005,480.2368593061,3561.640293791273,0.7750174619126347,2014,7,XS
114,SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2014,JUL FY2014,202,2014-07-01,179.70318660459714,122.33113784883244,211.0675436819356,97.42932775799424,2014,7,S
115,QKBU,N9500,N9K-C9508,Q4 FY2014,JUL FY2014,265,2014-07-01,61.53401041075392,64.07705230750075,277.0640758014506,62.80226576261266,2014,7,S
116,SRSBU,A9K1000,A9K1001-X,Q4 FY2014,JUL FY2014,563,2014-07-01,42.51361476731121,340.2704678253024,1590.91343889763,15.366619645964285,2014,7,M
117,UCEBU,PHONVOC,CP-7821-K9,Q4 FY2014,JUL FY2014,155691,2014-07-01,41050.33681699231,32179.99000118465,135400.12629645545,59801.990624462494,2014,7,XL
118,SRSBU,4300ISR,ISR4351/K9,Q4 FY2014,JUL FY2014,7,2014-07-01,3.93114053495,164.98995110520698,1545.7917511076869,1.373418871399929,2014,7,XS
119,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2014,AUG FY2014,11195,2014-08-01,66390.20154476276,33094.41973937992,7931.405145406843,44507.88356965427,2014,8,XL
120,TOASTBU,CPAK100,CPAK-100G-LR4,Q1 FY2014,AUG FY2014,43,2014-08-01,1009.7355352925504,1820.7707457390388,200.60970444417035,762.3384163385502,2014,8,XS
121,SRSBU,ISR1121,ISR4451-X/K9,Q1 FY2014,AUG FY2014,66,2014-08-01,1989.1644597788984,631.8591064038696,53.37567643093519,1662.6385442511612,2014,8,XS
122,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2014,AUG FY2014,68,2014-08-01,203.79500932125592,150.8163719591403,52.14123720652769,64.80889018664018,2014,8,XS
123,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2014,SEP FY2014,20515,2014-09-01,6669.933281668556,32808.688537479495,18168.513270248903,22183.932173599293,2014,9,XL
124,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2014,SEP FY2014,37,2014-09-01,69.11500825937658,139.89264432242192,59.481885545945325,77.0461997445027,2014,9,XS
125,QKBU,N9500,N9K-C9508,Q1 FY2014,SEP FY2014,3,2014-09-01,263.826651527345,134.9178734277562,27.64467068917693,263.81428373631,2014,9,XS
126,TOASTBU,CPAK100,CPAK-100G-LR4,Q1 FY2014,SEP FY2014,10,2014-09-01,65.68035323926426,1792.075230433769,830.7063040271859,436.2002311306108,2014,9,XS
127,SRSBU,ISR1121,ISR4451-X/K9,Q1 FY2014,SEP FY2014,97,2014-09-01,67.53315110520406,661.4822662541459,302.78229624005445,396.2751207778937,2014,9,XS
128,SRSBU,ISR1121,ISR4451-X/K9,Q1 FY2014,OCT FY2014,245,2014-10-01,98.66368049618124,684.3152478106672,1465.3557999122884,188.56015114077985,2014,10,S
129,TOASTBU,CPAK100,CPAK-100G-LR4,Q1 FY2014,OCT FY2014,234,2014-10-01,32.10626148998331,1727.2632832705483,2338.908636823457,214.42637856604748,2014,10,S
130,QKBU,N9500,N9K-C9508,Q1 FY2014,OCT FY2014,2,2014-10-01,2.060875569389428,98.40138863124722,154.60888671092485,4.451709201924475,2014,10,XS
131,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2014,OCT FY2014,74,2014-10-01,37.94733723566792,120.00991716551472,165.0838889924878,179.24054280448055,2014,10,XS
132,UCEBU,PHONVOC,CP-7821-K9,Q1 FY2014,OCT FY2014,3600,2014-10-01,139817.2820335705,73488.5445967597,107340.14956498732,83841.11646068505,2014,10,L
133,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2014,OCT FY2014,37000,2014-10-01,16103.71702910761,33360.933488799295,52796.07048557048,27400.085331244503,2014,10,XL
134,UCEBU,PHONVOC,CP-7841-K9,Q1 FY2014,OCT FY2014,14545,2014-10-01,123414.58353334156,41104.85256733076,110081.21274413202,66232.75753512493,2014,10,XL
135,UCEBU,PHONVOC,CP-7821-K9,Q2 FY2014,NOV FY2014,8206,2014-11-01,15894.06001006632,49325.58875094594,74354.10717784642,65301.9638711688,2014,11,XL
136,UCEBU,PHONVOC,CP-7841-K9,Q2 FY2014,NOV FY2014,11527,2014-11-01,12000.933259518124,39452.26895319935,52851.40962843252,44650.4937215985,2014,11,XL
137,QKBU,N9500,N9K-C9508,Q2 FY2014,NOV FY2014,1,2014-11-01,1.248343764257855,66.76426166453776,50.45797251020966,2.0927399199826384,2014,11,XS
138,TOASTBU,SFP10G,SFP-10G-LR,Q2 FY2014,NOV FY2014,16528,2014-11-01,32736.26645952245,35893.22052461711,14369.129648163926,32414.18856143696,2014,11,XL
139,SRSBU,ISR1121,ISR4451-X/K9,Q2 FY2014,NOV FY2014,254,2014-11-01,247.3714084727633,708.7627384199299,246.96992363434617,226.8715841288504,2014,11,S
140,SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2014,NOV FY2014,83,2014-11-01,75.11374039490471,110.59533697744553,68.47509477095045,83.26260369780027,2014,11,XS
141,TOASTBU,CPAK100,CPAK-100G-LR4,Q2 FY2014,NOV FY2014,45,2014-11-01,256.78759079796026,1660.7036915189651,1067.6872073596417,253.34614472982275,2014,11,XS
142,TOASTBU,SFP10G,SFP-10G-LR,Q2 FY2014,DEC FY2014,26355,2014-12-01,12226.672875952594,35180.80294987662,16595.651423296506,26261.62072282952,2014,12,XL
143,SRSBU,ISR1121,ISR4451-X/K9,Q2 FY2014,DEC FY2014,248,2014-12-01,256.3805059160955,726.8140667824739,525.3477759454372,281.07452453418733,2014,12,S
144,UCEBU,PHONVOC,CP-7841-K9,Q2 FY2014,DEC FY2014,32209,2014-12-01,9006.027957288328,37121.00394646856,62448.99799304687,38853.53872589377,2014,12,XL
145,QKBU,N9500,N9K-C9508,Q2 FY2014,DEC FY2014,69,2014-12-01,0.3983895229275164,40.41800446507131,139.93854941382622,1.0141426720470508,2014,12,XS
146,TOASTBU,CPAK100,CPAK-100G-LR4,Q2 FY2014,DEC FY2014,61,2014-12-01,66.45585958305084,1550.410767705646,1081.1444527573512,184.9234145425743,2014,12,XS
147,SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2014,DEC FY2014,99,2014-12-01,84.14114248073145,104.01898823498884,107.91262751978684,212.6520823210405,2014,12,XS
148,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q2 FY2014,DEC FY2014,235,2014-12-01,15085.528722936931,500.2505159995712,14377.83359712137,6579.882884354918,2014,12,S
149,UCEBU,PHONVOC,CP-7821-K9,Q2 FY2014,DEC FY2014,22081,2014-12-01,10424.510884639876,31697.926673190726,79310.31242013148,49989.56483236185,2014,12,XL
150,BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2015,JAN FY2015,179,2015-01-01,,,146.31159860459644,0.0,2015,1,S
151,SRSBU,ISR1121,ISR4431/K9,Q2 FY2015,JAN FY2015,2083,2015-01-01,55.27225,4.8804569767441865,940.5330337472772,46.55255765497336,2015,1,L
152,SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2015,JAN FY2015,156,2015-01-01,100.20227348185102,102.18930424909556,101.8282047926016,121.5283274641154,2015,1,S
153,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2015,JAN FY2015,156,2015-01-01,152.131122,302.15076186976745,3194.4554338396338,0.0,2015,1,S
154,SRSBU,4300ISR,ISR4351/K9,Q2 FY2015,JAN FY2015,244,2015-01-01,8.927019983952498,205.3938694376166,1086.8326525316202,5.2171132709721455,2015,1,S
155,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q2 FY2015,JAN FY2015,20159,2015-01-01,1862.5366814709737,966.6844063861532,19957.8876118837,7665.961286128679,2015,1,XL
